"full_name","serving_state","Associate","Bach","Graduate","Law","Med_Or_PhD"
"Mario Diaz-Balart","FL","No Associate's","University of South Florida","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Marjorie Taylor Greene","GA","No Associate's","University of Georgia","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mark Alford","MO","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mark Amodei","NV","No Associate's","University of Nevada Reno","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mark DeSaulnier","CA","No Associate's","College of the Holy Cross","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mark Green","TN","No Associate's","West Point","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Mark Harris","NC","No Associate's","Appalachian State University","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Mark Kelly","AZ","No Associate's","United States Merchant Marine Academy","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mark Messmer","IN","No Associate's","Purdue University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mark Pocan","WI","No Associate's","University of Wisconsin Madison","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mark Takano","CA","No Associate's","University of California Riverside","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mark Warner","VA","No Associate's","George Washington University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Markwayne Mullin","OK","Associate's Degree","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Marlin Stutzman","IN","Associate's Degree","Tri-State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Marsha Blackburn","TN","No Associate's","Mississippi State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Martin Heinrich","NM","No Associate's","University of Missouri","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mary Gay Scanlon","PA","No Associate's","Colgate University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
